problem,|Yn|,|Y|,p,supported,extreme,unsupported
prob-3-50|50-ul-2_4.json,518,2500,3,,,
prob-2-600|600-mm-2_1.json,6398,271545,2,,,
prob-3-50|50|50-ull-3_4.json,3074,125000,3,,,
prob-5-50|50-mm-2_3.json,2207,2500,5,,,
prob-2-300|300-mm-2_2.json,2902,86560,2,,,
prob-2-50|50|50-mmm-3_4.json,647,124494,2,,,
prob-2-50|50-mm-2_5.json,336,2500,2,,,
prob-3-50|50|50-uuu-3_4.json,1424,125000,3,,,
prob-2-50|50-uu-2_4.json,203,2500,2,,,
prob-4-600|600-uu-2_1.json,209029,360000,4,,,
prob-4-300|300-ll-2_2.json,48640,90000,4,,,
prob-2-300|300-uu-2_3.json,820,89784,2,,,
prob-3-300|300-ul-2_5.json,2861,90000,3,,,
prob-2-200|200-uu-2_1.json,651,39961,2,,,
prob-4-600|600-ll-2_1.json,190106,360000,4,,,
prob-2-50|50-ll-2_4.json,382,2500,2,,,
prob-2-300|300-ll-2_3.json,3379,89787,2,,,
prob-5-300|300-ul-2_4.json,72342,90000,5,,,
prob-4-300|300-uu-2_2.json,56433,90000,4,,,
prob-2-200|200-ll-2_1.json,2135,39964,2,,,
prob-3-200|200-uu-2_1.json,2537,40000,3,,,
prob-5-300|300-ll-2_2.json,76352,90000,5,,,
prob-2-300|300-ul-2_5.json,612,89846,2,,,
prob-3-300|300-uu-2_3.json,3226,90000,3,,,
prob-5-600|600-uu-2_1.json,282001,360000,5,,,
prob-2-50|50-ul-2_2.json,245,2500,2,,,
prob-3-200|200-ll-2_1.json,5520,40000,3,,,
prob-3-300|300-ll-2_3.json,9386,90000,3,,,
prob-5-300|300-uu-2_2.json,76348,90000,5,,,
prob-4-300|300-ul-2_4.json,53413,90000,4,,,
prob-5-600|600-ll-2_1.json,296713,360000,5,,,
prob-2-50|50|50-mmm-3_3.json,684,124703,2,,,
prob-2-50|50-mm-2_2.json,281,2499,2,,,
prob-2-300|300-mm-2_5.json,2899,87127,2,,,
prob-4-300|300-mm-2_4.json,70095,90000,4,,,
prob-3-300|300-mm-2_5.json,8711,90000,3,,,
prob-5-300|300-mm-2_4.json,68597,90000,5,,,
prob-5-300|300-mm-2_5.json,70132,90000,5,,,
prob-3-300|300-mm-2_4.json,9138,90000,3,,,
prob-4-300|300-mm-2_5.json,61373,90000,4,,,
prob-2-300|300-mm-2_4.json,2852,87044,2,,,
prob-2-50|50|50-mmm-3_2.json,791,124536,2,,,
prob-2-50|50-mm-2_3.json,300,2500,2,,,
prob-3-600|600-uu-2_1.json,6159,360000,3,,,
prob-3-300|300-ll-2_2.json,9737,90000,3,,,
prob-5-300|300-uu-2_3.json,83865,90000,5,,,
prob-4-300|300-ul-2_5.json,50687,90000,4,,,
prob-5-200|200-uu-2_1.json,35549,40000,5,,,
prob-3-600|600-ll-2_1.json,23778,360000,3,,,
prob-2-50|50-ul-2_3.json,151,2500,2,,,
prob-5-300|300-ll-2_3.json,75875,90000,5,,,
prob-2-300|300-ul-2_4.json,630,89844,2,,,
prob-3-300|300-uu-2_2.json,3802,90000,3,,,
prob-5-200|200-ll-2_1.json,34828,40000,5,,,
prob-4-200|200-uu-2_1.json,33058,40000,4,,,
prob-2-300|300-ll-2_2.json,3254,89864,2,,,
prob-5-300|300-ul-2_5.json,73495,90000,5,,,
prob-4-300|300-uu-2_3.json,54722,90000,4,,,
prob-2-50|50-ll-2_5.json,378,2500,2,,,
prob-2-600|600-uu-2_1.json,2091,356762,2,,,
prob-4-200|200-ll-2_1.json,24504,40000,4,,,
prob-4-300|300-ll-2_3.json,53922,90000,4,,,
prob-2-300|300-uu-2_2.json,764,89779,2,,,
prob-3-300|300-ul-2_4.json,4008,90000,3,,,
prob-2-600|600-ll-2_1.json,6705,356842,2,,,
prob-2-50|50-uu-2_5.json,207,2500,2,,,
prob-2-50|50|50-lll-3_1.json,1285,124889,2,,,
