prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level
m-l_10_10_extreme_1_,10,10,22,0.003652811050415039,0,0.0,m,l,10,10,1,extreme
m-l_10_10_extreme_2_,10,10,17,0.0031690597534179688,0,0.0,m,l,10,10,2,extreme
m-l_10_10_extreme_3_,10,10,16,0.0028417110443115234,0,0.0,m,l,10,10,3,extreme
m-l_10_10_extreme_4_,10,10,26,0.004662036895751953,0,0.0,m,l,10,10,4,extreme
m-l_10_10_extreme_5_,10,10,21,0.004819154739379883,0,0.0,m,l,10,10,5,extreme
m-m_10_10_extreme_1_,10,10,17,0.0018689632415771484,0,0.0,m,m,10,10,1,extreme
m-m_10_10_extreme_2_,10,10,16,0.0018858909606933594,0,0.0,m,m,10,10,2,extreme
m-m_10_10_extreme_3_,10,10,17,0.0028579235076904297,1,0.1,m,m,10,10,3,extreme
m-m_10_10_extreme_4_,10,10,12,0.0013461112976074219,0,0.0,m,m,10,10,4,extreme
m-m_10_10_extreme_5_,10,10,12,0.0016529560089111328,1,0.1,m,m,10,10,5,extreme
m-u_10_10_extreme_1_,10,10,16,0.0016965866088867188,4,0.4,m,u,10,10,1,extreme
m-u_10_10_extreme_2_,10,10,17,0.0017828941345214844,3,0.3,m,u,10,10,2,extreme
m-u_10_10_extreme_3_,10,10,16,0.0016067028045654297,1,0.1,m,u,10,10,3,extreme
m-u_10_10_extreme_4_,10,10,13,0.0012710094451904297,0,0.0,m,u,10,10,4,extreme
m-u_10_10_extreme_5_,10,10,19,0.0019321441650390625,5,0.5,m,u,10,10,5,extreme
u-l_10_10_extreme_1_,10,10,15,0.0024137496948242188,0,0.0,u,l,10,10,1,extreme
u-l_10_10_extreme_2_,10,10,10,0.0013189315795898438,0,0.0,u,l,10,10,2,extreme
u-l_10_10_extreme_3_,10,10,16,0.0029811859130859375,0,0.0,u,l,10,10,3,extreme
u-l_10_10_extreme_4_,10,10,11,0.0015740394592285156,0,0.0,u,l,10,10,4,extreme
u-l_10_10_extreme_5_,10,10,13,0.002928018569946289,0,0.0,u,l,10,10,5,extreme
u-m_10_10_extreme_1_,10,10,12,0.0013468265533447266,0,0.0,u,m,10,10,1,extreme
u-m_10_10_extreme_2_,10,10,12,0.001834869384765625,0,0.0,u,m,10,10,2,extreme
u-m_10_10_extreme_3_,10,10,14,0.002346038818359375,0,0.0,u,m,10,10,3,extreme
u-m_10_10_extreme_4_,10,10,6,0.0006649494171142578,0,0.0,u,m,10,10,4,extreme
u-m_10_10_extreme_5_,10,10,8,0.00096893310546875,0,0.0,u,m,10,10,5,extreme
u-u_10_10_extreme_1_,10,10,15,0.0016131401062011719,4,0.4,u,u,10,10,1,extreme
u-u_10_10_extreme_2_,10,10,11,0.0012161731719970703,0,0.0,u,u,10,10,2,extreme
u-u_10_10_extreme_3_,10,10,11,0.0011677742004394531,0,0.0,u,u,10,10,3,extreme
u-u_10_10_extreme_4_,10,10,6,0.0004980564117431641,0,0.0,u,u,10,10,4,extreme
u-u_10_10_extreme_5_,10,10,7,0.0006709098815917969,0,0.0,u,u,10,10,5,extreme
l-l_10_10_0.25_1_,10,10,18,0.0035316944122314453,0,0.0,l,l,10,10,1,0.25
l-l_10_10_0.25_2_,10,10,14,0.0028510093688964844,0,0.0,l,l,10,10,2,0.25
l-l_10_10_0.25_3_,10,10,11,0.0017330646514892578,0,0.0,l,l,10,10,3,0.25
l-l_10_10_0.25_4_,10,10,19,0.0034470558166503906,0,0.0,l,l,10,10,4,0.25
l-l_10_10_0.25_5_,10,10,12,0.0025129318237304688,0,0.0,l,l,10,10,5,0.25
l-m_10_10_0.25_1_,10,10,16,0.0026879310607910156,0,0.0,l,m,10,10,1,0.25
l-m_10_10_0.25_2_,10,10,12,0.001737833023071289,0,0.0,l,m,10,10,2,0.25
l-m_10_10_0.25_3_,10,10,14,0.0023491382598876953,0,0.0,l,m,10,10,3,0.25
l-m_10_10_0.25_4_,10,10,15,0.0020940303802490234,0,0.0,l,m,10,10,4,0.25
l-m_10_10_0.25_5_,10,10,12,0.0016739368438720703,0,0.0,l,m,10,10,5,0.25
l-u_10_10_0.25_1_,10,10,22,0.003071308135986328,1,0.1,l,u,10,10,1,0.25
l-u_10_10_0.25_2_,10,10,14,0.0014891624450683594,2,0.2,l,u,10,10,2,0.25
l-u_10_10_0.25_3_,10,10,13,0.0019252300262451172,1,0.1,l,u,10,10,3,0.25
l-u_10_10_0.25_4_,10,10,20,0.0022110939025878906,6,0.6,l,u,10,10,4,0.25
l-u_10_10_0.25_5_,10,10,14,0.0016887187957763672,0,0.0,l,u,10,10,5,0.25
m-l_10_10_0.25_1_,10,10,22,0.0034868717193603516,0,0.0,m,l,10,10,1,0.25
m-l_10_10_0.25_2_,10,10,17,0.003078937530517578,0,0.0,m,l,10,10,2,0.25
m-l_10_10_0.25_3_,10,10,16,0.0028219223022460938,0,0.0,m,l,10,10,3,0.25
m-l_10_10_0.25_4_,10,10,26,0.004602909088134766,0,0.0,m,l,10,10,4,0.25
m-l_10_10_0.25_5_,10,10,21,0.004724979400634766,0,0.0,m,l,10,10,5,0.25
m-m_10_10_0.25_1_,10,10,18,0.002132892608642578,0,0.0,m,m,10,10,1,0.25
m-m_10_10_0.25_2_,10,10,17,0.002498149871826172,0,0.0,m,m,10,10,2,0.25
m-m_10_10_0.25_3_,10,10,17,0.0025310516357421875,1,0.1,m,m,10,10,3,0.25
m-m_10_10_0.25_4_,10,10,13,0.0015969276428222656,0,0.0,m,m,10,10,4,0.25
m-m_10_10_0.25_5_,10,10,10,0.0015048980712890625,1,0.1,m,m,10,10,5,0.25
m-u_10_10_0.25_1_,10,10,18,0.0023429393768310547,4,0.4,m,u,10,10,1,0.25
m-u_10_10_0.25_2_,10,10,24,0.0026962757110595703,3,0.3,m,u,10,10,2,0.25
m-u_10_10_0.25_3_,10,10,18,0.0030210018157958984,1,0.1,m,u,10,10,3,0.25
m-u_10_10_0.25_4_,10,10,16,0.0018172264099121094,0,0.0,m,u,10,10,4,0.25
m-u_10_10_0.25_5_,10,10,24,0.0024161338806152344,5,0.5,m,u,10,10,5,0.25
u-l_10_10_0.25_1_,10,10,15,0.002374887466430664,0,0.0,u,l,10,10,1,0.25
u-l_10_10_0.25_2_,10,10,10,0.0012750625610351562,0,0.0,u,l,10,10,2,0.25
u-l_10_10_0.25_3_,10,10,16,0.002780914306640625,0,0.0,u,l,10,10,3,0.25
u-l_10_10_0.25_4_,10,10,11,0.001506805419921875,0,0.0,u,l,10,10,4,0.25
u-l_10_10_0.25_5_,10,10,13,0.0028829574584960938,0,0.0,u,l,10,10,5,0.25
u-m_10_10_0.25_1_,10,10,13,0.0020449161529541016,0,0.0,u,m,10,10,1,0.25
u-m_10_10_0.25_2_,10,10,12,0.0032529830932617188,0,0.0,u,m,10,10,2,0.25
u-m_10_10_0.25_3_,10,10,14,0.0023932456970214844,0,0.0,u,m,10,10,3,0.25
u-m_10_10_0.25_4_,10,10,7,0.002140045166015625,0,0.0,u,m,10,10,4,0.25
u-m_10_10_0.25_5_,10,10,10,0.0013751983642578125,0,0.0,u,m,10,10,5,0.25
u-u_10_10_0.25_1_,10,10,20,0.004606962203979492,4,0.4,u,u,10,10,1,0.25
u-u_10_10_0.25_2_,10,10,12,0.0014410018920898438,0,0.0,u,u,10,10,2,0.25
u-u_10_10_0.25_3_,10,10,11,0.001981973648071289,0,0.0,u,u,10,10,3,0.25
u-u_10_10_0.25_4_,10,10,7,0.0007159709930419922,0,0.0,u,u,10,10,4,0.25
u-u_10_10_0.25_5_,10,10,14,0.0023298263549804688,0,0.0,u,u,10,10,5,0.25
l-l_10_10_0.5_1_,10,10,18,0.0035529136657714844,0,0.0,l,l,10,10,1,0.5
