prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level,Y_size,Yn_size,G1_size,G2_size
l-m_50_50_extreme_4_,50,50,82,0.24374699592590332,0,0.0,l,m,50,50,4,extreme,2500,225,50,40
l-m_50_50_extreme_5_,50,50,105,0.2542381286621094,1,0.02,l,m,50,50,5,extreme,2500,229,50,40
l-u_50_50_extreme_1_,50,50,105,0.18384194374084473,16,0.32,l,u,50,50,1,extreme,2500,164,50,18
l-u_50_50_extreme_2_,50,50,126,0.23427724838256836,31,0.62,l,u,50,50,2,extreme,2500,189,50,13
l-u_50_50_extreme_3_,50,50,83,0.15462589263916016,21,0.42,l,u,50,50,3,extreme,2500,203,50,11
l-u_50_50_extreme_4_,50,50,77,0.13280200958251953,28,0.56,l,u,50,50,4,extreme,2500,177,50,14
l-u_50_50_extreme_5_,50,50,93,0.16251397132873535,18,0.36,l,u,50,50,5,extreme,2500,245,50,16
m-l_50_50_extreme_1_,50,50,98,0.333812952041626,0,0.0,m,l,50,50,1,extreme,2500,229,40,50
m-l_50_50_extreme_2_,50,50,110,0.4331040382385254,0,0.0,m,l,50,50,2,extreme,2500,225,40,50
m-l_50_50_extreme_3_,50,50,108,0.422421932220459,0,0.0,m,l,50,50,3,extreme,2500,250,40,50
m-l_50_50_extreme_4_,50,50,95,0.2879519462585449,0,0.0,m,l,50,50,4,extreme,2500,223,30,50
m-l_50_50_extreme_5_,50,50,130,0.6333258152008057,0,0.0,m,l,50,50,5,extreme,2500,273,39,50
m-m_50_50_extreme_1_,50,50,154,0.45462489128112793,7,0.14,m,m,50,50,1,extreme,2500,298,38,42
m-m_50_50_extreme_2_,50,50,125,0.292590856552124,4,0.08,m,m,50,50,2,extreme,2500,250,35,22
m-m_50_50_extreme_3_,50,50,141,0.41703009605407715,2,0.04,m,m,50,50,3,extreme,2500,272,38,29
m-m_50_50_extreme_4_,50,50,134,0.32303380966186523,2,0.04,m,m,50,50,4,extreme,2500,250,22,35
m-m_50_50_extreme_5_,50,50,165,0.4842948913574219,6,0.12,m,m,50,50,5,extreme,2500,298,42,38
m-u_50_50_extreme_1_,50,50,52,0.0868070125579834,35,0.7,m,u,50,50,1,extreme,2500,143,50,14
m-u_50_50_extreme_2_,50,50,79,0.1393589973449707,37,0.74,m,u,50,50,2,extreme,2500,185,50,13
m-u_50_50_extreme_3_,50,50,53,0.08510279655456543,37,0.74,m,u,50,50,3,extreme,2500,186,50,13
m-u_50_50_extreme_4_,50,50,51,0.08724308013916016,37,0.74,m,u,50,50,4,extreme,2500,170,50,12
m-u_50_50_extreme_5_,50,50,85,0.1394951343536377,39,0.78,m,u,50,50,5,extreme,2500,235,50,11
u-l_50_50_extreme_1_,50,50,78,0.3550679683685303,0,0.0,u,l,50,50,1,extreme,2500,245,16,50
u-l_50_50_extreme_2_,50,50,55,0.15784120559692383,0,0.0,u,l,50,50,2,extreme,2500,177,14,50
u-l_50_50_extreme_3_,50,50,53,0.1643199920654297,0,0.0,u,l,50,50,3,extreme,2500,203,11,50
u-l_50_50_extreme_4_,50,50,57,0.1861419677734375,0,0.0,u,l,50,50,4,extreme,2500,189,13,50
u-l_50_50_extreme_5_,50,50,54,0.16042590141296387,0,0.0,u,l,50,50,5,extreme,2500,164,18,50
u-m_50_50_extreme_1_,50,50,46,0.0966038703918457,0,0.0,u,m,50,50,1,extreme,2500,235,11,50
u-m_50_50_extreme_2_,50,50,23,0.03441214561462402,0,0.0,u,m,50,50,2,extreme,2500,170,12,50
u-m_50_50_extreme_3_,50,50,23,0.033315181732177734,0,0.0,u,m,50,50,3,extreme,2500,186,13,50
u-m_50_50_extreme_4_,50,50,33,0.06075167655944824,0,0.0,u,m,50,50,4,extreme,2500,185,13,50
u-m_50_50_extreme_5_,50,50,18,0.02654123306274414,0,0.0,u,m,50,50,5,extreme,2500,143,14,50
u-u_50_50_extreme_1_,50,50,89,0.16390681266784668,0,0.0,u,u,50,50,1,extreme,2500,203,50,50
u-u_50_50_extreme_2_,50,50,87,0.1446380615234375,0,0.0,u,u,50,50,2,extreme,2500,227,43,50
u-u_50_50_extreme_3_,50,50,95,0.17434906959533691,0,0.0,u,u,50,50,3,extreme,2500,192,20,41
u-u_50_50_extreme_4_,50,50,113,0.20068693161010742,6,0.12,u,u,50,50,4,extreme,2500,227,50,43
u-u_50_50_extreme_5_,50,50,58,0.07557415962219238,0,0.0,u,u,50,50,5,extreme,2500,203,50,50
l-l_100_100_extreme_1_,100,100,481,13.273447275161743,0,0.0,l,l,100,100,1,extreme,10000,927,100,100
l-l_100_100_extreme_2_,100,100,448,11.189218044281006,0,0.0,l,l,100,100,2,extreme,10000,866,100,100
