prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level,Y_size,Yn_size,G1_size,G2_size
l-l_300_300_extreme_3_,300,300,1246,261.02404499053955,0,0.0,l,l,300,300,3,extreme,90000,2426,293,286
l-l_300_300_extreme_4_,300,300,1412,340.9897949695587,0,0.0,l,l,300,300,4,extreme,90000,3308,300,300
l-l_300_300_extreme_5_,300,300,1457,348.0209012031555,0,0.0,l,l,300,300,5,extreme,90000,3357,300,300
l-m_300_300_extreme_1_,300,300,466,32.92969489097595,0,0.0,l,m,300,300,1,extreme,90000,1867,300,153
l-m_300_300_extreme_2_,300,300,589,41.2383189201355,2,0.006666666666666667,l,m,300,300,2,extreme,90000,1922,300,156
l-m_300_300_extreme_3_,300,300,739,49.3911919593811,5,0.016666666666666666,l,m,300,300,3,extreme,90000,1563,300,152
l-m_300_300_extreme_4_,300,300,570,39.13516688346863,1,0.0033333333333333335,l,m,300,300,4,extreme,90000,1773,300,157
l-m_300_300_extreme_5_,300,300,523,43.3109450340271,3,0.01,l,m,300,300,5,extreme,90000,1728,300,166
l-u_300_300_extreme_1_,300,300,466,28.805558681488037,293,0.9766666666666667,l,u,300,300,1,extreme,90000,648,300,5
l-u_300_300_extreme_2_,300,300,649,41.873971939086914,293,0.9766666666666667,l,u,300,300,2,extreme,90000,659,300,6
l-u_300_300_extreme_3_,300,300,317,21.547434091567993,249,0.83,l,u,300,300,3,extreme,90000,617,300,9
l-u_300_300_extreme_4_,300,300,404,27.25465178489685,284,0.9466666666666667,l,u,300,300,4,extreme,90000,638,300,7
l-u_300_300_extreme_5_,300,300,434,30.428035974502563,296,0.9866666666666667,l,u,300,300,5,extreme,90000,620,300,4
m-l_300_300_extreme_1_,300,300,539,70.45309495925903,0,0.0,m,l,300,300,1,extreme,90000,1728,166,300
m-l_300_300_extreme_2_,300,300,493,67.47450280189514,0,0.0,m,l,300,300,2,extreme,90000,1773,157,300
m-l_300_300_extreme_3_,300,300,448,54.13718509674072,0,0.0,m,l,300,300,3,extreme,90000,1563,152,300
m-l_300_300_extreme_4_,300,300,510,71.32404398918152,0,0.0,m,l,300,300,4,extreme,90000,1922,156,300
m-l_300_300_extreme_5_,300,300,513,66.29935383796692,0,0.0,m,l,300,300,5,extreme,90000,1867,153,300
m-m_300_300_extreme_1_,300,300,772,63.76550912857056,9,0.03,m,m,300,300,1,extreme,90000,2955,136,136
m-m_300_300_extreme_2_,300,300,1161,101.99179577827454,26,0.08666666666666667,m,m,300,300,2,extreme,90000,2898,128,135
m-m_300_300_extreme_3_,300,300,970,65.19925308227539,5,0.016666666666666666,m,m,300,300,3,extreme,90000,2267,94,137
m-m_300_300_extreme_4_,300,300,1098,106.21070623397827,32,0.10666666666666667,m,m,300,300,4,extreme,90000,2898,135,128
m-m_300_300_extreme_5_,300,300,1115,110.14895105361938,37,0.12333333333333334,m,m,300,300,5,extreme,90000,2955,136,136
m-u_300_300_extreme_1_,300,300,303,18.737210988998413,222,0.74,m,u,300,300,1,extreme,90000,672,300,62
m-u_300_300_extreme_2_,300,300,301,18.62234115600586,232,0.7733333333333333,m,u,300,300,2,extreme,90000,673,300,51
m-u_300_300_extreme_3_,300,300,414,25.870656967163086,218,0.7266666666666667,m,u,300,300,3,extreme,90000,683,300,67
m-u_300_300_extreme_4_,300,300,301,18.699463844299316,215,0.7166666666666667,m,u,300,300,4,extreme,90000,676,300,65
m-u_300_300_extreme_5_,300,300,301,18.638671875,231,0.77,m,u,300,300,5,extreme,90000,660,300,57
u-l_300_300_extreme_1_,300,300,156,6.080743074417114,0,0.0,u,l,300,300,1,extreme,90000,620,4,300
u-l_300_300_extreme_2_,300,300,142,5.685554265975952,0,0.0,u,l,300,300,2,extreme,90000,638,7,300
u-l_300_300_extreme_3_,300,300,156,5.759677886962891,0,0.0,u,l,300,300,3,extreme,90000,617,9,300
u-l_300_300_extreme_4_,300,300,159,7.281965732574463,0,0.0,u,l,300,300,4,extreme,90000,659,6,300
u-l_300_300_extreme_5_,300,300,158,6.910227060317993,0,0.0,u,l,300,300,5,extreme,90000,648,5,300
u-m_300_300_extreme_1_,300,300,69,2.3876750469207764,0,0.0,u,m,300,300,1,extreme,90000,660,57,300
u-m_300_300_extreme_2_,300,300,95,4.4094078540802,0,0.0,u,m,300,300,2,extreme,90000,676,65,300
u-m_300_300_extreme_3_,300,300,108,5.013720989227295,0,0.0,u,m,300,300,3,extreme,90000,683,67,300
u-m_300_300_extreme_4_,300,300,75,2.9265170097351074,0,0.0,u,m,300,300,4,extreme,90000,673,51,300
u-m_300_300_extreme_5_,300,300,73,3.234307050704956,0,0.0,u,m,300,300,5,extreme,90000,672,62,300
u-u_300_300_extreme_1_,300,300,299,18.904531955718994,0,0.0,u,u,300,300,1,extreme,90000,816,300,300
u-u_300_300_extreme_2_,300,300,296,17.47819685935974,0,0.0,u,u,300,300,2,extreme,90000,732,300,300
u-u_300_300_extreme_3_,300,300,308,19.63857388496399,0,0.0,u,u,300,300,3,extreme,90000,612,53,250
u-u_300_300_extreme_4_,300,300,299,19.71583914756775,0,0.0,u,u,300,300,4,extreme,90000,732,300,300
u-u_300_300_extreme_5_,300,300,297,18.5593478679657,0,0.0,u,u,300,300,5,extreme,90000,816,300,300
l-l_600_600_extreme_1_,600,600,2407,1795.5664241313934,2,0.0033333333333333335,l,l,600,600,1,extreme,360000,6705,594,595
l-l_600_600_extreme_2_,600,600,2508,1996.6350209712982,3,0.005,l,l,600,600,2,extreme,360000,6674,590,590
l-l_600_600_extreme_3_,600,600,2325,1753.3604171276093,0,0.0,l,l,600,600,3,extreme,360000,5108,542,547
l-l_600_600_extreme_4_,600,600,2396,1823.2048208713531,1,0.0016666666666666668,l,l,600,600,4,extreme,360000,6674,590,590
l-l_600_600_extreme_5_,600,600,2355,1927.6658482551575,1,0.0016666666666666668,l,l,600,600,5,extreme,360000,6705,595,594
l-m_600_600_extreme_1_,600,600,1116,376.9668159484863,0,0.0,l,m,600,600,1,extreme,360000,4161,598,260
l-m_600_600_extreme_2_,600,600,1291,419.85248732566833,0,0.0,l,m,600,600,2,extreme,360000,3667,600,287
l-m_600_600_extreme_3_,600,600,1132,370.8921060562134,1,0.0016666666666666668,l,m,600,600,3,extreme,360000,3613,600,278
l-m_600_600_extreme_4_,600,600,1324,460.8963887691498,1,0.0016666666666666668,l,m,600,600,4,extreme,360000,4054,600,238
l-m_600_600_extreme_5_,600,600,1065,393.05758690834045,6,0.01,l,m,600,600,5,extreme,360000,3469,598,233
l-u_600_600_extreme_1_,600,600,645,165.9382951259613,596,0.9933333333333333,l,u,600,600,1,extreme,360000,1214,600,4
l-u_600_600_extreme_2_,600,600,645,166.391343832016,597,0.995,l,u,600,600,2,extreme,360000,1202,600,3
l-u_600_600_extreme_3_,600,600,699,177.92160511016846,592,0.9866666666666667,l,u,600,600,3,extreme,360000,1215,600,5
l-u_600_600_extreme_4_,600,600,652,170.57725286483765,564,0.94,l,u,600,600,4,extreme,360000,1230,600,5
l-u_600_600_extreme_5_,600,600,616,159.35579109191895,575,0.9583333333333334,l,u,600,600,5,extreme,360000,1209,600,4
m-l_600_600_extreme_1_,600,600,873,346.84540915489197,1,0.0016666666666666668,m,l,600,600,1,extreme,360000,3469,233,598
m-l_600_600_extreme_2_,600,600,938,415.089280128479,0,0.0,m,l,600,600,2,extreme,360000,4054,238,600
m-l_600_600_extreme_3_,600,600,1012,461.76558780670166,0,0.0,m,l,600,600,3,extreme,360000,3613,278,600
m-l_600_600_extreme_4_,600,600,760,292.57095408439636,0,0.0,m,l,600,600,4,extreme,360000,3667,287,600
m-l_600_600_extreme_5_,600,600,1276,666.3440310955048,0,0.0,m,l,600,600,5,extreme,360000,4161,260,598
