prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level
l-m_100_100_all_4_,100,100,268,5.430449962615967,20,0.2,l,m,100,100,4,all
l-m_100_100_all_5_,100,100,505,10.11423397064209,35,0.35,l,m,100,100,5,all
l-u_100_100_all_1_,100,100,679,7.204138994216919,85,0.85,l,u,100,100,1,all
l-u_100_100_all_2_,100,100,452,3.6447460651397705,87,0.87,l,u,100,100,2,all
l-u_100_100_all_3_,100,100,500,5.174876928329468,89,0.89,l,u,100,100,3,all
l-u_100_100_all_4_,100,100,373,3.7600760459899902,93,0.93,l,u,100,100,4,all
l-u_100_100_all_5_,100,100,294,3.111417770385742,89,0.89,l,u,100,100,5,all
m-l_100_100_all_1_,100,100,253,5.161171913146973,0,0.0,m,l,100,100,1,all
m-l_100_100_all_2_,100,100,331,5.582104206085205,0,0.0,m,l,100,100,2,all
m-l_100_100_all_3_,100,100,192,3.3462719917297363,0,0.0,m,l,100,100,3,all
m-l_100_100_all_4_,100,100,267,5.091018915176392,0,0.0,m,l,100,100,4,all
m-l_100_100_all_5_,100,100,244,4.575136184692383,0,0.0,m,l,100,100,5,all
m-m_100_100_all_1_,100,100,610,14.076146841049194,39,0.39,m,m,100,100,1,all
m-m_100_100_all_2_,100,100,632,14.92603087425232,35,0.35,m,m,100,100,2,all
m-m_100_100_all_3_,100,100,388,6.943825960159302,25,0.25,m,m,100,100,3,all
m-m_100_100_all_4_,100,100,598,14.687310218811035,41,0.41,m,m,100,100,4,all
m-m_100_100_all_5_,100,100,566,12.761379718780518,36,0.36,m,m,100,100,5,all
m-u_100_100_all_1_,100,100,162,1.5303668975830078,82,0.82,m,u,100,100,1,all
m-u_100_100_all_2_,100,100,302,2.3510220050811768,82,0.82,m,u,100,100,2,all
m-u_100_100_all_3_,100,100,229,2.220290184020996,79,0.79,m,u,100,100,3,all
m-u_100_100_all_4_,100,100,282,3.0592591762542725,86,0.86,m,u,100,100,4,all
m-u_100_100_all_5_,100,100,205,2.1964240074157715,74,0.74,m,u,100,100,5,all
u-l_100_100_all_1_,100,100,101,1.071876049041748,0,0.0,u,l,100,100,1,all
u-l_100_100_all_2_,100,100,107,1.1062860488891602,0,0.0,u,l,100,100,2,all
u-l_100_100_all_3_,100,100,115,1.3078851699829102,0,0.0,u,l,100,100,3,all
u-l_100_100_all_4_,100,100,101,0.8583800792694092,0,0.0,u,l,100,100,4,all
u-l_100_100_all_5_,100,100,117,1.2414741516113281,0,0.0,u,l,100,100,5,all
u-m_100_100_all_1_,100,100,100,1.0963740348815918,0,0.0,u,m,100,100,1,all
u-m_100_100_all_2_,100,100,101,1.2017109394073486,0,0.0,u,m,100,100,2,all
u-m_100_100_all_3_,100,100,108,1.1247680187225342,0,0.0,u,m,100,100,3,all
u-m_100_100_all_4_,100,100,101,0.8826870918273926,0,0.0,u,m,100,100,4,all
u-m_100_100_all_5_,100,100,114,1.150235891342163,0,0.0,u,m,100,100,5,all
u-u_100_100_all_1_,100,100,112,1.389591932296753,0,0.0,u,u,100,100,1,all
u-u_100_100_all_2_,100,100,214,2.6826398372650146,0,0.0,u,u,100,100,2,all
u-u_100_100_all_3_,100,100,115,1.1880533695220947,0,0.0,u,u,100,100,3,all
u-u_100_100_all_4_,100,100,138,1.893923044204712,0,0.0,u,u,100,100,4,all
u-u_100_100_all_5_,100,100,241,2.896055221557617,44,0.44,u,u,100,100,5,all
l-l_150_150_lexmin_1_,150,150,330,5.16599178314209,0,0.0,l,l,150,150,1,lexmin
l-l_150_150_lexmin_2_,150,150,254,4.139047861099243,0,0.0,l,l,150,150,2,lexmin
l-l_150_150_lexmin_3_,150,150,318,5.032471179962158,0,0.0,l,l,150,150,3,lexmin
l-l_150_150_lexmin_4_,150,150,428,6.935924053192139,0,0.0,l,l,150,150,4,lexmin
l-l_150_150_lexmin_5_,150,150,279,4.25792384147644,0,0.0,l,l,150,150,5,lexmin
l-m_150_150_lexmin_1_,150,150,272,4.004509210586548,0,0.0,l,m,150,150,1,lexmin
l-m_150_150_lexmin_2_,150,150,178,2.9759111404418945,0,0.0,l,m,150,150,2,lexmin
l-m_150_150_lexmin_3_,150,150,287,4.4360010623931885,0,0.0,l,m,150,150,3,lexmin
l-m_150_150_lexmin_4_,150,150,227,3.487661123275757,0,0.0,l,m,150,150,4,lexmin
l-m_150_150_lexmin_5_,150,150,293,4.099458932876587,0,0.0,l,m,150,150,5,lexmin
l-u_150_150_lexmin_1_,150,150,402,6.4122960567474365,146,0.9733333333333334,l,u,150,150,1,lexmin
l-u_150_150_lexmin_2_,150,150,311,5.081279993057251,120,0.8,l,u,150,150,2,lexmin
l-u_150_150_lexmin_3_,150,150,293,4.649320840835571,141,0.94,l,u,150,150,3,lexmin
l-u_150_150_lexmin_4_,150,150,300,4.82495903968811,136,0.9066666666666666,l,u,150,150,4,lexmin
l-u_150_150_lexmin_5_,150,150,448,7.152359247207642,137,0.9133333333333333,l,u,150,150,5,lexmin
m-l_150_150_lexmin_1_,150,150,151,2.334972858428955,0,0.0,m,l,150,150,1,lexmin
m-l_150_150_lexmin_2_,150,150,152,2.360466241836548,0,0.0,m,l,150,150,2,lexmin
m-l_150_150_lexmin_3_,150,150,153,2.3837850093841553,0,0.0,m,l,150,150,3,lexmin
m-l_150_150_lexmin_4_,150,150,154,2.3214569091796875,0,0.0,m,l,150,150,4,lexmin
m-l_150_150_lexmin_5_,150,150,151,2.2126410007476807,0,0.0,m,l,150,150,5,lexmin
m-m_150_150_lexmin_1_,150,150,390,6.092576026916504,0,0.0,m,m,150,150,1,lexmin
m-m_150_150_lexmin_2_,150,150,383,6.6543309688568115,0,0.0,m,m,150,150,2,lexmin
m-m_150_150_lexmin_3_,150,150,267,4.0318121910095215,0,0.0,m,m,150,150,3,lexmin
m-m_150_150_lexmin_4_,150,150,148,2.2059900760650635,0,0.0,m,m,150,150,4,lexmin
m-m_150_150_lexmin_5_,150,150,334,4.36532998085022,0,0.0,m,m,150,150,5,lexmin
m-u_150_150_lexmin_1_,150,150,151,2.2985079288482666,122,0.8133333333333334,m,u,150,150,1,lexmin
m-u_150_150_lexmin_2_,150,150,152,2.4306223392486572,104,0.6933333333333334,m,u,150,150,2,lexmin
m-u_150_150_lexmin_3_,150,150,151,2.2948150634765625,112,0.7466666666666667,m,u,150,150,3,lexmin
m-u_150_150_lexmin_4_,150,150,173,2.664944887161255,110,0.7333333333333333,m,u,150,150,4,lexmin
m-u_150_150_lexmin_5_,150,150,151,2.2936718463897705,108,0.72,m,u,150,150,5,lexmin
u-l_150_150_lexmin_1_,150,150,237,3.9555487632751465,0,0.0,u,l,150,150,1,lexmin
u-l_150_150_lexmin_2_,150,150,186,2.831155776977539,0,0.0,u,l,150,150,2,lexmin
u-l_150_150_lexmin_3_,150,150,151,2.358513116836548,0,0.0,u,l,150,150,3,lexmin
u-l_150_150_lexmin_4_,150,150,171,2.2775280475616455,0,0.0,u,l,150,150,4,lexmin
u-l_150_150_lexmin_5_,150,150,149,2.318382978439331,0,0.0,u,l,150,150,5,lexmin
u-m_150_150_lexmin_1_,150,150,136,1.7831239700317383,0,0.0,u,m,150,150,1,lexmin
u-m_150_150_lexmin_2_,150,150,126,1.879685878753662,0,0.0,u,m,150,150,2,lexmin
u-m_150_150_lexmin_3_,150,150,84,0.8998451232910156,0,0.0,u,m,150,150,3,lexmin
u-m_150_150_lexmin_4_,150,150,98,1.1586837768554688,0,0.0,u,m,150,150,4,lexmin
u-m_150_150_lexmin_5_,150,150,88,1.001373052597046,0,0.0,u,m,150,150,5,lexmin
u-u_150_150_lexmin_1_,150,150,251,4.14377498626709,78,0.52,u,u,150,150,1,lexmin
u-u_150_150_lexmin_2_,150,150,165,2.5158369541168213,0,0.0,u,u,150,150,2,lexmin
u-u_150_150_lexmin_3_,150,150,211,3.3305511474609375,0,0.0,u,u,150,150,3,lexmin
u-u_150_150_lexmin_4_,150,150,209,3.3107008934020996,56,0.37333333333333335,u,u,150,150,4,lexmin
u-u_150_150_lexmin_5_,150,150,138,2.0258982181549072,0,0.0,u,u,150,150,5,lexmin
l-l_150_150_extreme_1_,150,150,761,44.55761194229126,0,0.0,l,l,150,150,1,extreme
l-l_150_150_extreme_2_,150,150,705,40.9121630191803,1,0.006666666666666667,l,l,150,150,2,extreme
l-l_150_150_extreme_3_,150,150,552,27.95367980003357,0,0.0,l,l,150,150,3,extreme
l-l_150_150_extreme_4_,150,150,734,43.66355299949646,0,0.0,l,l,150,150,4,extreme
l-l_150_150_extreme_5_,150,150,761,47.79064583778381,0,0.0,l,l,150,150,5,extreme
l-m_150_150_extreme_1_,150,150,363,8.669558048248291,0,0.0,l,m,150,150,1,extreme
l-m_150_150_extreme_2_,150,150,237,4.515106916427612,0,0.0,l,m,150,150,2,extreme
l-m_150_150_extreme_3_,150,150,301,5.370010852813721,1,0.006666666666666667,l,m,150,150,3,extreme
l-m_150_150_extreme_4_,150,150,281,5.313406944274902,2,0.013333333333333334,l,m,150,150,4,extreme
l-m_150_150_extreme_5_,150,150,190,4.008080005645752,1,0.006666666666666667,l,m,150,150,5,extreme
l-u_150_150_extreme_1_,150,150,402,6.580693006515503,146,0.9733333333333334,l,u,150,150,1,extreme
l-u_150_150_extreme_2_,150,150,311,5.087120056152344,120,0.8,l,u,150,150,2,extreme
l-u_150_150_extreme_3_,150,150,293,4.753523826599121,141,0.94,l,u,150,150,3,extreme
l-u_150_150_extreme_4_,150,150,300,4.922543048858643,136,0.9066666666666666,l,u,150,150,4,extreme
l-u_150_150_extreme_5_,150,150,448,7.196671009063721,137,0.9133333333333333,l,u,150,150,5,extreme
m-l_150_150_extreme_1_,150,150,344,12.676973104476929,0,0.0,m,l,150,150,1,extreme
m-l_150_150_extreme_2_,150,150,265,10.944550037384033,0,0.0,m,l,150,150,2,extreme
m-l_150_150_extreme_3_,150,150,235,8.518578290939331,0,0.0,m,l,150,150,3,extreme
m-l_150_150_extreme_4_,150,150,294,9.174882173538208,0,0.0,m,l,150,150,4,extreme
m-l_150_150_extreme_5_,150,150,297,11.29870080947876,0,0.0,m,l,150,150,5,extreme
m-m_150_150_extreme_1_,150,150,561,12.384300947189331,8,0.05333333333333334,m,m,150,150,1,extreme
m-m_150_150_extreme_2_,150,150,546,13.48931622505188,22,0.14666666666666667,m,m,150,150,2,extreme
m-m_150_150_extreme_3_,150,150,558,13.916386127471924,10,0.06666666666666667,m,m,150,150,3,extreme
m-m_150_150_extreme_4_,150,150,592,13.299730777740479,15,0.1,m,m,150,150,4,extreme
m-m_150_150_extreme_5_,150,150,429,10.31303596496582,5,0.03333333333333333,m,m,150,150,5,extreme
m-u_150_150_extreme_1_,150,150,151,2.289677143096924,122,0.8133333333333334,m,u,150,150,1,extreme
m-u_150_150_extreme_2_,150,150,152,2.357438802719116,104,0.6933333333333334,m,u,150,150,2,extreme
m-u_150_150_extreme_3_,150,150,151,2.264214038848877,112,0.7466666666666667,m,u,150,150,3,extreme
