prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level,Y_size,Yn_size
l-u_10_10_extreme_1_,10,10,19,0.001950979232788086,1,0.1,l,u,10,10,1,extreme,100,46
l-u_10_10_extreme_2_,10,10,12,0.0010950565338134766,2,0.2,l,u,10,10,2,extreme,100,27
l-u_10_10_extreme_3_,10,10,11,0.0009768009185791016,0,0.0,l,u,10,10,3,extreme,100,39
l-u_10_10_extreme_4_,10,10,16,0.0015861988067626953,6,0.6,l,u,10,10,4,extreme,100,21
l-u_10_10_extreme_5_,10,10,5,0.0003981590270996094,0,0.0,l,u,10,10,5,extreme,100,32
m-l_10_10_extreme_1_,10,10,22,0.0033349990844726562,0,0.0,m,l,10,10,1,extreme,100,34
m-l_10_10_extreme_2_,10,10,17,0.0029740333557128906,0,0.0,m,l,10,10,2,extreme,100,36
m-l_10_10_extreme_3_,10,10,16,0.0026760101318359375,0,0.0,m,l,10,10,3,extreme,100,36
m-l_10_10_extreme_4_,10,10,26,0.004307985305786133,0,0.0,m,l,10,10,4,extreme,100,38
m-l_10_10_extreme_5_,10,10,21,0.004497051239013672,0,0.0,m,l,10,10,5,extreme,100,53
m-m_10_10_extreme_1_,10,10,17,0.0017867088317871094,0,0.0,m,m,10,10,1,extreme,100,34
m-m_10_10_extreme_2_,10,10,16,0.0017671585083007812,0,0.0,m,m,10,10,2,extreme,100,34
m-m_10_10_extreme_3_,10,10,17,0.002407073974609375,1,0.1,m,m,10,10,3,extreme,100,29
m-m_10_10_extreme_4_,10,10,12,0.001226186752319336,0,0.0,m,m,10,10,4,extreme,100,34
m-m_10_10_extreme_5_,10,10,12,0.001547098159790039,1,0.1,m,m,10,10,5,extreme,100,34
m-u_10_10_extreme_1_,10,10,16,0.0015821456909179688,4,0.4,m,u,10,10,1,extreme,100,36
m-u_10_10_extreme_2_,10,10,17,0.0016331672668457031,3,0.3,m,u,10,10,2,extreme,100,26
m-u_10_10_extreme_3_,10,10,16,0.0015201568603515625,1,0.1,m,u,10,10,3,extreme,100,39
m-u_10_10_extreme_4_,10,10,13,0.0011949539184570312,0,0.0,m,u,10,10,4,extreme,100,27
